sampleID	condition	type	R1	R2
WHY2 	WT	mESC	data/sub_FCH3LHVBBXX-HKHUMhmwEAAARAAPEI-214_L5_1.fq	data/sub_FCH3LHVBBXX-HKHUMhmwEAAARAAPEI-214_L5_2.fq
WHY4-1	WT	mESC	data/sub_FCH3LHVBBXX-HKHUMhmwEAACRAAPEI-216_L5_1.fq	data/sub_FCH3LHVBBXX-HKHUMhmwEAACRAAPEI-216_L5_2.fq
WHY8	WT	mESC	data/sub_FCH3LHVBBXX-HKHUMhmwEAABRAAPEI-215_L5_1.fq	data/sub_FCH3LHVBBXX-HKHUMhmwEAABRAAPEI-215_L5_2.fq
WHY12	KO	mESC	data/sub_FCH3LHVBBXX-HKHUMhmwEAADRAAPEI-218_L5_1.fq	data/sub_FCH3LHVBBXX-HKHUMhmwEAADRAAPEI-218_L5_2.fq
WHY4-3	KO	mESC	data/sub_FCH3LJ5BBXX-HKHUMhmwEAAERAAPEI-219_L1_1.fq	data/sub_FCH3LJ5BBXX-HKHUMhmwEAAERAAPEI-219_L1_2.fq
WHY4-7	KO	mESC	data/sub_FCH3LJ5BBXX-HKHUMhmwEAAFRAAPEI-220_L8_1.fq	data/sub_FCH3LJ5BBXX-HKHUMhmwEAAFRAAPEI-220_L8_2.fq
